;PBI_QOG;Q_ImportOG;OFYDM;GSFC;GCG;FBC;Q-Total ;REFS;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;
I Trimestre;;;;;;;;;;;;;;;;;;;
II Trimestre;;;;;;;;;;;;;;;;;;;
III Trimestre;;;;;;;;;;;;;;;;;;;
IV Trimestre;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;
I Trimestre;;;;;;;;;;;;;;;;;;;
II Trimestre;;;;;;;;;;;;;;;;;;;
III Trimestre;;;;;;;;;;;;;;;;;;;
IV Trimestre;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;
I Trimestre;;;;;;;;;;;;;;;;;;;
II Trimestre;;;;;;;;;;;;;;;;;;;
III Trimestre;;;;;;;;;;;;;;;;;;;
IV Trimestre;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;
I Trimestre;;;;;;;;;;;;;;;;;;;
II Trimestre;;;;;;;;;;;;;;;;;;;
III Trimestre;;;;;;;;;;;;;;;;;;;
IV Trimestre;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;
I Trimestre;;;;;;;;;;;;;;;;;;;
II Trimestre;;;;;;;;;;;;;;;;;;;
III Trimestre;;;;;;;;;;;;;;;;;;;
IV Trimestre;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;
I Trimestre;;;;;;;;;;;;;;;;;;;
II Trimestre;;;;;;;;;;;;;;;;;;;
III Trimestre;;;;;;;;;;;;;;;;;;;
; 319 693; 77 257; 396 950; 192 316; 33 424; 70 436; 296 176; 100 774;;;;;;;;;;;
I; 74 911; 17 578; 92 489; 46 181; 7 999; 16 148; 70 328; 22 161;;;;;;;;;;;
II; 81 059; 18 268; 99 327; 47 902; 7 888; 19 420; 75 210; 24 117;;;;;;;;;;;
III; 79 962; 20 522; 100 484; 48 878; 8 475; 16 624; 73 977; 26 507;;;;;;;;;;;
IV; 83 761; 20 889; 104 650; 49 355; 9 062; 18 244; 76 661; 27 989;;;;;;;;;;;
; 348 870; 96 556; 445 426; 209 428; 35 043; 92 339; 336 810; 108 616;;;;;;;;;;;
